job_title,company_name,job_location,salary_range,job_posted,description,Ratings
"Director, Network Strategy and Product",Mastercard,"New York, NY 10011 
(Flatiron area)","$155,000 - $200,000 ","
 30+ days ago","The successful candidate will own end-to-end product development, launch and management of new network offerings.
Analytical and problem-solving skills.",4.0
"Senior Managing Consultant, Small Business Cards Subject Matter Expert [Open to US Remote]",Mastercard,"Remote in New York, NY 10011","$136,000 - $223,000 ","
 30+ days ago","Leverage your experience in Small Business Credit and Debit payments products to provide relevant and value-creating analysis and insights for our clients, to…",4.0
Lead Technical Program Manager,Mastercard,"New York, NY 10011 
(Flatiron area)","$105,600 - $164,000 ","
 30+ days ago",The Mastercard Network & Digital Payment Services (part of Product and Engineering) team is looking for a Lead Technical Program Manager to drive delivery to…,4.0
Lead Technical Writer,Mastercard,"New York, NY 10011 
(Flatiron area)","$134,000 - $208,000 ","
 30+ days ago","Aside from running run one of the biggest networks in the world processing billions of transactions through card payments and APIs, we are world leaders in…",4.0
Senior Software Engineer - API Platform,Mastercard,"New York, NY 10011 
(Flatiron area)","$112,000 - $173,000 ","
 30+ days ago","Mastercard Developers(https://developer.mastercard.com) is the primary API platform for Mastercard partners to access a diverse range of payment, data, loyalty,…",4.0
Senior Software Engineer,Mastercard,"New York, NY 10011 
(Flatiron area)","$136,000 - $223,000 ","
 30+ days ago","Senior React Developer for features from design and development through to delivery.
Contributes to development and maintenance of the suite of constantly…",4.0
"SVP, Open Banking Digital & Platform Sales",Mastercard,"New York, NY 10011 
(Flatiron area)","$136,850 - $212,500 ","
 5 days ago","The position will report directly to the Head of US Open Banking and will be responsible for initiating and growing commercial partnerships in strategic, high…",4.0
Lead Software Development Engineer,Mastercard,"New York, NY 10011 
(Flatiron area)","$98,000 - $152,000 ","
 12 days ago",The Edge Services team is looking for a Lead architect to drive our customer experience strategy forward by consistently innovating and problem-solving.,4.0
"Director, Issuer Sales, North America (Ethoca) - SCI0002",Mastercard,"Remote in New York, NY 10011","$164,000 - $256,000 ","
 24 days ago",Accountable for regional outreach to financial institutions and fintechs to broaden market penetration of Ethoca solutions.,4.0
"Senior Analyst, Mergers and Acquisitions",Mastercard,"New York, NY 10011 
(Flatiron area)",0,"
 20 days ago","The Senior Analyst, Mergers & Acquisitions is an integral member of the team driving all phases sourcing, executing and overseeing strategic acquisitions and…",4.0
"Manager, Software Engineering",Mastercard,"New York, NY 10011 
(Flatiron area)",0,"
 30+ days ago","Our team is built on a foundation of research and development, innovation mentality, thinking through new product lines using Blockchain / Distributed ledger…",4.0
Product Owner - Middle and Back Office,Federal Reserve Bank of New York,"Hybrid remote in New York, NY","$161,300 - $184,000 ","
 24 days ago",Designs and integrates usability studies and research into product requirements to enhance user satisfaction; ensures customer driven design including customers…,4.1
Tiffany & Co. Global Flagship Opportunities,Tiffany & Co.,"New York, NY","$2,800 - $3,000 a week","
 30+ days ago","Experience best-in-class research technology and quantitative risk systems.
Successful summer internship participants will receive an offer for full time…",3.7
Citadel Associate Program,Mastercard,"New York, NY","$142,000 - $220,000 ","
 18 days ago","Maintain an independent mindset and view of the facts, develop a strong view of the best available approaches, make a compelling case and push hard for the…",4.0
Manager - Network Strategy and Product,BlackRock,"New York, NY 10011 
(Flatiron area)",$33.65 - $52.88 an hour,"
 16 days ago","Drive key team activities and events (such as team meetings, strategy sessions, conferences, ordering supplies and social events).",3.8
Administrative Assistant,New York University,"Hybrid remote in New York, NY",$20 - $28 an hour,"
 18 days ago","Utilize email and phone calls to provide white-glove service in a timely manner.
Work directly with customers to answer questions and resolve problems.",4.2
"Customer Care Associate, Passport (Part-Time, Evenings)",Fidelis Care,"Remote in New York, NY",$34.63 an hour,"
 25 days ago","Perform a wide range of clerical, secretarial and general office duties including those of a confidential nature.
Knowledge of desktop publishing software.",3.2
Administrative Aide II,The Metropolitan Museum of Art,"Hybrid remote in New York, NY 10012","$79,300 - $142,800 ","
 6 days ago","Education/Experience: Bachelor’s degree in Science, Business Management, Accounting, Statistics, Healthcare related field or equivalent 3+ years of related…",3.8
Clinical Informatics Analyst,CBS Studios,"Hybrid remote in New York, NY","$110,000 - $130,000 ","
 26 days ago","Manage the technical support operations team to provide inquiry research/response, problem analysis, and troubleshooting.",3.9
Technical Support Manager,New York University,"New York, NY","$1,050 a week","
 9 days ago",This is a program designed to develop high-potential individuals with a passion for late-night comedy and foster a pipeline of diverse talent for future roles…,4.2
THE LATE SHOW WITH STEPHEN COLBERT - Apprentice Program,Federal Bureau of Investigation,"New York, NY 10019 
(Midtown area)",$34.63 an hour,"
 24 days ago","Advanced level skills with computers and business/productivity software (MS Office, Google Suite), word processing, spreadsheets, database applications, and…",4.3
Registrar Assistant,Pfizer,"Hybrid remote in New York, NY 10012",$31.36 - $52.27 an hour,"
 30+ days ago","Travel to attend the DAR session is at your own expense.
Complete your applicant profile if establishing your account for the first time.",4.2
DAR New York 2023 Talent Network,Trader Joe's,"New York, NY","$60,000 - $110,000 ","
 12 days ago","Take personal accountability for quality of own work that impacts the department, manages own time, professional development, prioritize workflow.",4.0
Administrative Assistant,Amex,"Remote in New York, NY 10017",0,"
 17 days ago","Operating the cash register in a fun and efficient manner.
Our Crew Members create a warm and friendly shopping experience in our stores.",4.1
Crew,0,"Brooklyn, NY 11201",0,"
Just posted","Partner with engineering, design, and user research to define user stories, user experience, and conduct user testing.",0
"Associate Digital Product Management, Consumer Banking",0,"New York, NY",0,"
 30+ days ago",0,0
Manager - Network Strategy and Product,Mastercard,"New York, NY 10011 
(Flatiron area)","$142,000 - $220,000 ","
 16 days ago",Develop and maintain a formal assessment of potential alliance targets and prioritize recruitment based on ongoing alignment with Network product and business…,4.0
Strategy Manager,The New York Times,"New York, NY","$130,000 - $140,000 ","
 13 days ago","This is a small, high-impact team that partners with the CEO and senior executives to shape our strategy, and to translate that strategy into results.",4.0
Sr. Manager Content Strategy (Paramount +),Paramount+,"Hybrid remote in New York, NY 10036","$110,000 - $125,000 ","
 11 days ago",Continually review and monitor data and analytics for music content and shift programming strategies as needed in an effort to drive increased engagement.,3.9
Manager International Strategy & Ops,Warner Bros. Discovery,"New York, NY 10010 
(Flatiron area)","$115,500 - $214,500 ","
 12 days ago","Primary focus on providing analysis to support programming and distribution strategies.
The role will work across a wide array of projects, providing leadership…",4.0
Business Strategy Manager,T-Mobile,"New York, NY 10036 
(Midtown area)","$113,700 - $153,900 ","
 16 days ago","Support strategy project leads on ad-hoc team deliverables.
3+ years in management consulting, investment banking, corporate strategy, or other related…",3.7
Climate Strategy Manager – Underwriting,AXA,"New York, NY","$150,000 - $180,000 ","
 11 days ago","Coaching and training colleagues on Climate focused topics and strategies.
Designing and\or identifying tools and metrics that include Climate considerations in…",3.9
"Manager, Club Strategy",Major League Baseball,"New York, NY","$90,000 - $125,000 ","
 30+ days ago","Lead benchmarking efforts that explore, evaluate, and recommend best-practice strategies across fan development, revenue, and operational excellence for all 30…",4.2
